supermercado,codigo,nombre,categoria,precio_actual,unidad,fecha,clave
chanear,182,HAMBURGUESA LA MUÑECA X 86 GRAMOS (X 2 UNIDADES),Elaborados,2000.0,unidad,20260305,chanear_182_hamburguesa la muñeca x 86 gramos (x 2 unidades)
chanear,162,HAMBURGUESA CASERA PREMIUN,Elaborados Premium,9500.0,unidad,20260305,chanear_162_hamburguesa casera premiun
chanear,147,MATAMBRE ARROLLADO CASERO DE TERNERA,Elaborados Premium,33000.0,kg,20260305,chanear_147_matambre arrollado casero de ternera
chanear,138,MILANESAS DE TERNERA DE OFERTA X 2 KG O MAS,Elaborados Premium,12200.0,kg,20260305,chanear_138_milanesas de ternera de oferta x 2 kg o mas
chanear,141,MILANESAS DE TERNERA X KG,Elaborados Premium,13700.0,kg,20260305,chanear_141_milanesas de ternera x kg
chanear,163,TAPITA DE CUADRIL RELLENA,Elaborados Premium,24500.0,unidad,20260305,chanear_163_tapita de cuadril rellena
piala,,Picada común,Cortes vacunos,9000.0,kg,20260306,piala__picada común
piala,,Brazuelo con hueso/ Pata de ternera de 10kg,Cortes vacunos,12000.0,kg,20260306,piala__brazuelo con hueso/ pata de ternera de 10kg
piala,,Pata de ternera de 7kg,Cortes vacunos,13332.0,unidad,20260306,piala__pata de ternera de 7kg
piala,,Lomo,Cortes vacunos,26200.0,kg,20260306,piala__lomo
piala,,Falda,Cortes vacunos,11800.0,kg,20260306,piala__falda
piala,,Entrecot comun / Roast beef,Cortes vacunos,13000.0,kg,20260306,piala__entrecot comun / roast beef
piala,,Entraña fina,Cortes vacunos,29500.0,kg,20260306,piala__entraña fina
piala,,Cuadril,Cortes vacunos,19300.0,kg,20260306,piala__cuadril
piala,,Costeleta grande,Cortes vacunos,12400.0,kg,20260306,piala__costeleta grande
piala,,Costeleta chica,Cortes vacunos,16800.0,kg,20260306,piala__costeleta chica
piala,,Colita de cuadril / Punta de vacio,Cortes vacunos,22700.0,kg,20260306,piala__colita de cuadril / punta de vacio
piala,,Cima de ternera,Cortes vacunos,16500.0,kg,20260306,piala__cima de ternera
piala,,Cabeza de lomo / Bola de lomo,Cortes vacunos,16700.0,kg,20260306,piala__cabeza de lomo / bola de lomo
piala,,Brazuelo sin hueso,Cortes vacunos,16300.0,kg,20260306,piala__brazuelo sin hueso
piala,,Brazuelo con hueso/ Pata de ternera de 5kg,Cortes vacunos,12000.0,kg,20260306,piala__brazuelo con hueso/ pata de ternera de 5kg
piala,,Arañita,Cortes vacunos,19600.0,kg,20260306,piala__arañita
piala,,Asado de novillito,Cortes vacunos,18000.0,kg,20260306,piala__asado de novillito
piala,,Vacio,Cortes vacunos,26000.0,kg,20260306,piala__vacio
piala,,Tapa de asado,Cortes vacunos,16000.0,kg,20260306,piala__tapa de asado
piala,,Osobuco,Cortes vacunos,10200.0,kg,20260306,piala__osobuco
piala,,Nalga,Cortes vacunos,19900.0,kg,20260306,piala__nalga
piala,,Matambre de ternera,Cortes vacunos,17000.0,kg,20260306,piala__matambre de ternera
piala,,Mar del plata,Cortes vacunos,22000.0,kg,20260306,piala__mar del plata
piala,,Jamon redondo / Peceto,Cortes vacunos,21700.0,kg,20260306,piala__jamon redondo / peceto
piala,,Jamon cuadrado,Cortes vacunos,16700.0,kg,20260306,piala__jamon cuadrado
piala,,Entrecot especial / Bife de chorizo,Cortes vacunos,24500.0,kg,20260306,piala__entrecot especial / bife de chorizo
piala,,Asado – Costilla de ternera,Cortes vacunos,23700.0,kg,20260306,piala__asado – costilla de ternera
piala,,Chuleton,Cortes vacunos,23000.0,kg,20260306,piala__chuleton
piala,,Picada especial,Cortes vacunos,13000.0,kg,20260306,piala__picada especial
piala,,Ojo de bife,Cortes vacunos,24500.0,unidad,20260306,piala__ojo de bife
piala,,Tapa de nalga,Cortes vacunos,16700.0,kg,20260306,piala__tapa de nalga
piala,,Tapa de cuadril / Picaña,Cortes vacunos,21400.0,kg,20260306,piala__tapa de cuadril / picaña
piala,,Palomita,Cortes vacunos,13000.0,kg,20260306,piala__palomita
piala,,Puchero común,Cortes vacunos,5500.0,unidad,20260306,piala__puchero común
piala,,Pollo,Pollos y Derivados,4100.0,kg,20260306,piala__pollo
piala,,Pechuga con alas,Pollos y Derivados,11000.0,kg,20260306,piala__pechuga con alas
piala,,Filet de muslo,Pollos y Derivados,9950.0,kg,20260306,piala__filet de muslo
piala,,Alitas,Pollos y Derivados,1100.0,kg,20260306,piala__alitas
piala,,Medallón de pollo,Pollos y Derivados,1200.0,unidad,20260306,piala__medallón de pollo
piala,,Pata muslo,Pollos y Derivados,3000.0,kg,20260306,piala__pata muslo
piala,,Filet de pechuga,Pollos y Derivados,11050.0,kg,20260306,piala__filet de pechuga
piala,,Cajon de pollo,Pollos y Derivados,81250.0,unidad,20260306,piala__cajon de pollo
piala,,Muslo rellenos salado/agridulce,Pollos y Derivados,11900.0,unidad,20260306,piala__muslo rellenos salado/agridulce
piala,,Muslo 4 estaciones,Pollos y Derivados,13000.0,kg,20260306,piala__muslo 4 estaciones
piala,,Pechito con manto,Cortes de Cerdo,6999.0,kg,20260306,piala__pechito con manto
piala,,Nalga de cerdo,Cortes de Cerdo,9900.0,kg,20260306,piala__nalga de cerdo
piala,,Matambrito,Cortes de Cerdo,19700.0,kg,20260306,piala__matambrito
piala,,Mar del plata de cerdo,Cortes de Cerdo,7900.0,kg,20260306,piala__mar del plata de cerdo
piala,,Chuleta de cerdo,Cortes de Cerdo,5799.0,kg,20260306,piala__chuleta de cerdo
piala,,Bondiola de cerdo,Cortes de Cerdo,9999.0,kg,20260306,piala__bondiola de cerdo
piala,,Bifecitos de cerdo / Churrasquito,Cortes de Cerdo,11160.0,kg,20260306,piala__bifecitos de cerdo / churrasquito
piala,,Carre de cerdo / Costeletas de cerdo,Cortes de Cerdo,6499.0,kg,20260306,piala__carre de cerdo / costeletas de cerdo
